summary,product,comp,updated,lemmatized_str,cluster_labels,cluster1,cluster2,common_words
garbled animation when mouse is moved away from the 'go back one page' button!        ,Firefox,Toolbars and Customi        ,2022-10-10    ,garbled animation mouse moved away go back one page button ,0,"page, button",button,button
correct the markup for the search button in the top right-hand box        ,Firefox,Search        ,2021-02-05    ,correct markup search button top righthand box ,0,"button, search",button,button
paymentrequest dialog <button> ordering        ,Firefox,WebPayments UI        ,2022-10-11    ,paymentrequest dialog button ordering ,0,button,button,button
"""restore default settings"" ssl pref reset button doesn't appear for the ""interrupted"" case in non-english builds        ",Firefox,Security        ,2022-10-11    ,restore default setting ssl pref reset button doesnt appear interrupted case nonenglish build ,0,button,button,button
bookmarks button missing        ,Firefox,Toolbars and Customi        ,2022-10-10    ,bookmark button missing ,0,"button, bookmark",button,button
"consider doing something with the bookmarks panel ""remove bookmark"" button        ",Firefox,Bookmarks & History        ,2022-10-11    ,consider something bookmark panel remove bookmark button ,0,"button, bookmark",button,button
"minimize, maximize, close buttons stop working after startup        ",Firefox,Toolbars and Customi        ,2022-10-10    ,minimize maximize close button stop working startup ,0,"button, work","close, button",button
firefox ignores click on continue button with mixed active content block on get form submit        ,Core,DOM: Security        ,2022-10-10    ,firefox ignores click continue button mixed active content block get form submit ,0,button,button,button
"intermittent browser_947914_button_cut.js | selected text is removed from source when clicking on cut - got cut text test, expected        ",Firefox,Toolbars and Customi        ,2022-10-11    ,intermittent browser947914buttoncutjs selected text removed source clicking cut got cut text test expected ,0,"button, test","button, browser",button
in every loginname- or linkadress-selection the up- and down-button doesn't work        ,Firefox,General        ,2022-10-10    ,every loginname linkadressselection downbutton doesnt work ,0,"button, work",button,button
clicking pdf viewer 'current view' button does not work for pdfs accessed from local file (cannot link to file: protocol from the unprivileged `resource` pdf viewer page)        ,Firefox,PDF Viewer        ,2022-10-11    ,clicking pdf viewer current view button work pdfs accessed local file cannot link file protocol unprivileged resource pdf viewer page ,0,"page, file, button, work",button,button
[rtl] go button is reversed        ,Firefox for iOS,Browser        ,2022-10-11    ,rtl go button reversed ,0,button,button,button
[qac generated] missing download button        ,Firefox,General        ,2022-10-10    ,qac generated missing download button ,0,button,button,button
back button hover effect is always active on firefox 88 with default theme        ,Core,Widget: Gtk        ,2021-04-26    ,back button hover effect always active firefox 88 default theme ,0,button,button,button
"add ""retry"" button to sync sign-in failure page        ",Firefox for iOS,Firefox Accounts        ,2022-10-11    ,add retry button sync signin failure page ,0,"page, button, add",button,button
excessive padding for bottom row buttons in modal dialogs        ,Firefox,Settings UI        ,2022-10-11    ,excessive padding bottom row button modal dialog ,0,"button, add",button,button
mouseover preview of where help button will take us        ,Firefox,Settings UI        ,2022-10-10    ,mouseover preview help button take u ,0,button,button,button
"""restore default settings"" ssl pref reset button doesn't appear for sites that trigger the ""reset while the page was loading"" error page.        ",Firefox,Security        ,2022-10-11    ,restore default setting ssl pref reset button doesnt appear site trigger reset page loading error page ,0,"page, button, error",button,button
noticeable delay of button style change when clicking a button to hide the dropdown        ,Firefox,Toolbars and Customi        ,2022-10-10    ,noticeable delay button style change clicking button hide dropdown ,0,button,button,button
un-rtl the panic/forget buttons        ,Firefox,Toolbars and Customi        ,2022-10-11    ,unrtl panicforget button ,0,button,button,button
"microsoft vc++ assert on file save box ""new folder"" button        ",Firefox,File Handling        ,2022-10-10    ,microsoft vc assert file save box new folder button ,0,"file, button",button,button
firefox versions 54+ don't display checkboxes or radio buttons        ,Core,Layout: Form Control        ,2022-10-11    ,firefox version 54 dont display checkboxes radio button ,0,button,button,button
the page load stop and refresh buttons do nothing when the e10s slow script notification is being shown.        ,Firefox,General        ,2022-10-11    ,page load stop refresh button nothing e10s slow script notification shown ,0,"page, button, show","10, button",button
"""firefox"" button should be moveable        ",Firefox,General        ,2022-10-10    ,firefox button moveable ,0,button,button,button
"minimise, restore and close window buttons in full-screen mode are too close to each other        ",Firefox,Theme        ,2022-10-11    ,minimise restore close window button fullscreen mode close ,1,button,"window, screen, close, button",button
firefox navigation / back button        ,Core,DOM: Navigation        ,2022-10-11    ,firefox navigation back button ,0,button,button,button
add button to options for home page to set to blank page        ,Firefox,General        ,2022-10-10    ,add button option home page set blank page ,0,"page, button, add, option",button,button
sles 10: the hyperlink buttons in the right pane are inactive        ,Firefox,General        ,2022-10-10    ,sle 10 hyperlink button right pane inactive ,0,button,"10, button",button
window buttons are hidden after using aero snap        ,Firefox,Tabbed Browser        ,2022-10-10    ,window button hidden using aero snap ,1,button,"window, button",button
the content (including the sending button) is cut        ,Firefox,General        ,2022-10-31    ,content including sending button cut ,0,button,button,button
restore previous session button should still be enabled when restoration of session is default behaviour on launch        ,Firefox,Session Restore        ,2022-10-11    ,restore previous session button still enabled restoration session default behaviour launch ,0,button,button,button
move window buttons a little to the right for a more balanced appearance        ,Firefox,Theme        ,2022-10-11    ,move window button little right balanced appearance ,1,button,"window, button",button
"when firefox blocks redirect or reload page, move the focus on the ""allow"" button        ",Firefox,General        ,2022-10-10    ,firefox block redirect reload page move focus allow button ,0,"page, button",button,button
